last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Cron, C.J.,543068,2023,.265,.491,.347,.314,.227,88.2,12.3,31.3,14.5,
Gomes, Yan,543228,2023,.251,.389,.309,.302,.138,87,16.3,36.6,8.3,
Grossman, Robbie,543257,2023,.213,.343,.287,.297,.130,88.6,20.2,31.3,6.8,
Harrison, Josh,543281,2023,.229,.320,.278,.294,.091,86.6,10.7,30.6,2.4,
Hicks, Aaron,543305,2023,.204,.309,.278,.299,.105,85.8,14.2,26.7,4.8,
Higashioka, Kyle,543309,2023,.231,.433,.302,.270,.202,89.7,16.1,35.9,10.9,
Hosmer, Eric,543333,2023,.203,.309,.249,.251,.106,85.1,3.4,23.2,5.8,
McCann, James,543510,2023,.256,.434,.313,.291,.178,90.2,17.2,32.4,7.8,
Miller, Brad,543543,2023,.221,.352,.309,.334,.131,87.5,7.7,26.1,6.5,
Nola, Austin,543592,2023,.195,.252,.261,.302,.057,85.8,15,24.3,1,
Rendon, Anthony,543685,2023,.263,.388,.357,.389,.124,90.1,16.2,34.4,4.8,
Semien, Marcus,543760,2023,.265,.425,.334,.338,.160,88.2,19.4,36.3,6,
Springer III, George,543807,2023,.266,.433,.338,.336,.166,88.4,11.2,31.7,8.6,
Vazquez, Christian,543877,2023,.238,.336,.285,.303,.098,86.8,9.8,39.3,2.9,
Wong, Kolten,543939,2023,.210,.284,.260,.283,.074,85.8,13.5,29.3,1.3,
Vargas, Ildemaro,545121,2023,.270,.380,.304,.309,.110,87.8,2.3,25.4,3.4,
Grichuk, Randal,545341,2023,.273,.441,.335,.332,.169,89.4,16.7,36.9,6.8,
Marisnick, Jake,545350,2023,.229,.372,.281,.273,.143,88.5,21.9,31.6,5.3,
Trout, Mike,545361,2023,.274,.526,.391,.381,.252,92.1,19.2,38.4,16.3,
Harper, Bryce,547180,2023,.284,.489,.378,.380,.204,91.4,7.5,35.1,12.6,
Abreu, Jose,547989,2023,.237,.363,.293,.298,.127,88.9,10.7,32.8,7,
Diaz, Elias,553869,2023,.246,.386,.307,.306,.141,88.4,12.6,31.8,6.8,
Narvaez, Omar,553882,2023,.251,.360,.311,.335,.109,83.3,23.5,38,6,
Suarez, Eugenio,553993,2023,.230,.448,.341,.325,.218,90.7,19.3,35.8,13.3,
Urshela, Gio,570482,2023,.255,.355,.288,.294,.100,87.5,8.6,34.8,3.9,
Schoop, Jonathan,570731,2023,.230,.334,.281,.295,.104,89.4,11.2,32.7,4,
Arenado, Nolan,571448,2023,.267,.464,.334,.319,.196,89.7,17.8,33.5,8.8,
Barnhart, Tucker,571466,2023,.179,.232,.239,.271,.053,87,16.5,30.9,1.5,
